time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,precip
2020-10-05,26.9,20.9,34.6,0.0,,,5.7,,1016.6,,
2020-10-06,25.4,20.5,35.2,0.0,,,5.1,,1015.0,,
2020-10-07,26.9,20.5,33.7,0.0,,,6.1,,1014.1,,
2020-10-08,23.5,17.0,28.2,,,,9.2,,1011.3,,
2020-10-09,20.7,16.2,25.3,10.4,,,7.2,,1015.3,,
2020-10-10,20.2,14.8,23.8,0.0,,,9.2,,1017.3,,
2020-10-11,20.6,15.1,26.1,0.0,,,4.4,,1015.6,,
2020-10-12,22.3,16.3,27.6,0.0,,,7.4,,1014.0,,
2020-10-13,21.9,20.0,28.6,32.0,,,21.6,,1010.7,,
2020-10-14,22.4,19.0,27.3,0.0,,,13.5,,1016.3,,
2020-10-15,21.4,17.0,26.7,0.0,,,8.4,,1018.7,,
2020-10-16,22.8,16.9,28.5,0.0,,,9.9,,1016.0,,
2020-10-17,24.6,20.9,30.0,0.0,,,12.7,,1013.0,,
2020-10-18,23.3,17.0,28.9,0.0,,,8.4,,1013.6,,
2020-10-19,20.6,16.0,24.6,0.0,,,13.4,,1018.1,,
2020-10-20,19.8,14.7,23.3,0.0,,,10.2,,1019.4,,
2020-10-21,20.1,16.5,23.5,0.0,,,9.2,,1018.4,,
2020-10-22,19.9,14.6,24.9,0.0,,,5.3,,1020.1,,
2020-10-23,20.1,15.1,25.6,0.0,,,5.6,,1019.1,,
2020-10-24,20.5,16.1,27.0,0.0,,,3.2,,1016.0,,
2020-10-25,21.6,16.3,28.3,0.0,,,4.5,,1013.5,,
2020-10-26,19.9,16.1,23.8,0.0,,,5.9,,1014.1,,
2020-10-27,16.9,11.5,23.6,,,,3.7,,1014.3,,
2020-10-28,17.9,13.8,22.5,0.5,,,10.3,,,,
2020-10-29,17.8,15.3,20.5,13.2,,,10.6,,1014.5,,
2020-10-30,19.1,15.4,22.6,3.3,,,7.1,,1016.7,,
2020-10-31,16.5,9.0,20.6,0.0,,,14.0,,1018.7,,
2020-11-01,15.1,10.1,21.2,0.0,,,6.8,,1019.2,,
2020-11-02,14.1,8.3,20.3,0.0,,,7.7,,1021.2,,
