time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-10-05,22.8,7.9,30.6,0.0,,,1.6,16.7,1019.0,
2020-10-06,25.0,10.8,33.4,0.0,,,1.7,14.8,1016.3,
2020-10-07,23.9,10.6,29.9,0.0,,,1.4,11.1,1014.3,
2020-10-08,22.6,13.0,29.3,0.8,,,3.5,13.0,1012.5,
2020-10-09,15.9,13.0,18.9,8.9,,,2.4,13.0,1013.9,
2020-10-10,16.1,11.6,20.3,9.4,,,3.3,20.4,1016.8,
2020-10-11,16.7,9.4,23.7,0.0,,,1.6,13.0,1017.0,
2020-10-12,19.3,7.3,27.7,0.0,,,1.7,13.0,1015.2,
2020-10-13,21.3,7.5,27.5,0.0,,,2.3,22.2,1011.5,
2020-10-14,17.3,11.1,20.8,0.0,,,2.0,13.0,1014.9,
2020-10-15,18.4,10.1,24.7,0.0,,,1.7,9.3,1018.9,
2020-10-16,18.9,6.2,26.4,0.0,,,1.9,13.0,1016.7,
2020-10-17,19.8,5.4,26.5,0.0,,,1.8,14.8,1014.4,
2020-10-18,15.4,12.3,21.1,4.1,,,3.1,13.0,1015.3,
2020-10-19,11.3,10.5,13.1,3.0,,,3.1,18.5,1020.5,
2020-10-20,12.2,9.1,13.9,3.6,,,2.0,11.1,1022.7,
2020-10-21,14.6,8.4,20.3,0.0,,,2.1,13.0,1022.8,
2020-10-22,15.6,8.9,22.9,0.0,,,1.5,9.3,1022.8,
2020-10-23,16.3,7.9,24.7,0.0,,,1.1,11.1,1021.8,
2020-10-24,18.6,5.6,27.4,0.0,,,1.1,11.1,1018.3,
2020-10-25,19.6,5.7,27.9,0.0,,,1.7,13.0,1015.5,
2020-10-26,17.9,8.9,26.3,0.3,,,2.1,14.8,1013.7,
2020-10-27,13.4,9.5,20.8,,,,0.9,13.0,1015.1,
2020-10-28,16.5,7.2,23.8,0.0,,,1.8,13.0,1014.3,
2020-10-29,16.0,9.8,21.7,0.0,,,3.0,11.1,1014.9,
2020-10-30,13.7,8.0,17.2,7.9,,,2.3,9.3,1015.6,
2020-10-31,8.7,6.1,10.7,0.8,,,4.8,20.4,1018.4,
2020-11-01,6.7,3.8,9.6,2.8,,,4.9,22.2,1020.1,
2020-11-02,7.4,-0.5,14.1,1.0,,,1.7,11.1,1024.3,
2020-11-03,7.7,-0.5,13.2,0.0,,,1.1,9.3,1022.0,
2020-11-04,8.9,1.7,13.1,0.3,,,1.8,16.7,1019.3,
