time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-10-05,18.7,8.0,31.0,,,,3.1,,1021.0,
2020-10-06,20.1,10.6,33.0,,,,3.0,,1018.9,
2020-10-07,20.4,10.0,30.0,,,,6.0,,1017.3,
2020-10-08,19.7,12.7,27.0,,,,8.0,,1015.1,
2020-10-09,16.3,14.0,20.0,,,,8.8,,1015.6,
2020-10-10,15.3,11.0,21.0,,,,9.0,,1018.0,
2020-10-11,13.2,5.0,22.0,,,,3.8,,1018.1,
2020-10-12,15.9,7.0,25.1,,,,5.5,,1016.3,
2020-10-13,17.4,7.0,28.0,,,,8.0,,1013.4,
2020-10-14,16.2,10.0,24.0,,,,6.6,,1017.2,
2020-10-15,14.0,6.0,23.2,,,,3.2,,1020.7,
2020-10-16,13.8,5.0,25.0,,,,1.6,,1018.7,
2020-10-17,15.1,4.0,26.0,,,,6.3,,1016.9,
2020-10-18,14.9,11.0,20.4,,,,8.9,,1016.8,
2020-10-19,12.3,10.0,15.0,,,,5.2,,1020.9,
2020-10-20,11.5,10.0,14.0,,,,7.1,,1022.0,
2020-10-21,13.8,10.0,18.0,,,,8.9,,1022.9,
2020-10-22,14.0,7.0,22.0,,,,4.9,,1023.2,
2020-10-23,13.5,6.9,24.0,,,,2.2,,1022.1,
2020-10-24,13.4,5.0,23.1,,,,5.1,,1019.6,
2020-10-25,14.3,6.0,24.0,,,,7.4,,1017.2,
2020-10-26,15.4,8.0,24.0,,,,6.9,,1015.3,
2020-10-27,12.5,4.0,21.0,,,,5.0,,1016.1,
2020-10-28,14.2,8.0,22.0,,,,2.7,,,
2020-10-29,12.3,9.4,17.0,,,,5.6,,1016.8,
2020-10-30,11.0,8.0,15.9,,,,7.1,,1017.4,
2020-10-31,9.0,4.0,13.5,,,,9.8,,1018.8,
2020-11-01,5.9,1.0,12.0,,,,6.9,,1020.3,
2020-11-02,3.8,-2.4,12.2,,,,2.9,,1023.7,
2020-11-03,4.9,-2.0,12.0,,,,2.9,,1021.0,
2020-11-04,9.4,6.0,13.0,,,,14.5,,1018.1,
2020-11-05,11.3,8.0,15.0,,,,11.1,,1020.3,
2020-11-06,11.8,8.0,14.3,,,,12.3,,1022.9,
2020-11-07,9.3,5.0,14.1,,,,6.4,,1027.0,
2020-11-08,5.6,-2.0,15.0,,,,5.7,,1026.8,
2020-11-09,5.9,-2.0,16.0,,,,5.2,,1024.0,
2020-11-10,6.5,-2.0,17.0,,,,2.6,,1023.8,
2020-11-11,6.1,-0.6,15.0,,,,3.4,,1025.6,
2020-11-12,4.4,-3.0,13.0,,,,5.4,,1026.3,
2020-11-13,6.0,-2.0,14.0,,,,10.3,,1024.8,
2020-11-14,6.7,2.4,12.0,,,,4.2,,1022.3,
2020-11-15,8.1,3.0,12.0,,,,6.8,,1022.1,
2020-11-16,4.5,-2.0,13.0,,,,3.0,,1022.1,
2020-11-17,3.2,-4.0,13.0,,,,3.1,,1025.1,
2020-11-18,3.9,-4.0,12.0,,,,1.7,,,
2020-11-19,5.8,2.0,9.0,,,,5.5,,1020.9,
2020-11-20,3.1,,,,,,1.8,,1015.4,
2020-11-21,2.4,,,,,,4.5,,,
2020-11-22,2.0,,,,,,2.3,,,
2020-11-23,1.0,,,,,,7.7,,,
2020-11-24,1.6,-6.0,10.2,,,,5.5,,1023.2,
2020-11-25,2.9,-4.0,11.0,,,,2.8,,1022.0,
2020-11-26,0.5,-6.0,10.0,,,,1.0,,1023.5,
2020-11-27,0.5,-7.0,9.1,,,,7.7,,1024.9,
2020-11-28,-0.4,-8.0,9.0,,,,7.3,,1024.0,
2020-11-29,0.1,-8.0,8.0,,,,8.2,,1023.1,
2020-11-30,1.6,-4.0,9.5,,,,6.8,,1019.0,
2020-12-01,1.0,-7.0,11.3,,,,2.1,,1018.4,
2020-12-02,3.7,-1.0,10.0,,,,3.9,,1020.4,
