time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-10-05,10.1,1.9,18.0,,,,11.8,,1023.4,
2020-10-06,8.4,-0.6,14.0,,,,16.5,,1024.2,
2020-10-07,9.0,1.9,15.0,,,,18.8,,1024.2,
2020-10-08,8.9,-2.1,16.0,,,,14.5,,1027.0,
2020-10-09,9.3,-1.1,18.0,,,,14.9,,1029.0,
2020-10-10,10.6,-1.6,19.2,,,,13.2,,1027.3,
2020-10-11,10.6,-0.3,21.2,,,,8.9,,1024.8,
2020-10-12,10.4,-1.0,22.0,,,,6.0,,1025.2,
2020-10-13,10.7,-0.9,22.2,,,,6.4,,1023.8,
2020-10-14,9.1,-2.9,22.0,,,,2.8,,1024.5,
2020-10-15,9.6,-2.1,22.2,,,,3.8,,1024.7,
2020-10-16,9.8,-1.0,23.0,,,,4.3,,1023.7,
2020-10-17,9.6,-2.0,21.7,,,,4.9,,1023.2,
2020-10-18,9.8,-2.1,22.0,,,,5.1,,1023.5,
2020-10-19,9.7,-4.1,20.7,,,,7.0,,1023.4,
2020-10-20,10.2,4.0,19.0,,,,5.5,,1024.4,
2020-10-21,7.9,1.5,16.2,0.5,,,6.5,,1027.5,
2020-10-22,7.9,-3.6,20.0,0.5,,,8.6,,1027.5,
2020-10-23,7.3,-4.7,21.0,0.0,,,5.8,,1027.5,
2020-10-24,7.1,-5.2,20.7,,,,3.8,,1025.9,
2020-10-25,6.2,-4.9,18.2,,,,3.4,,1024.2,
2020-10-26,6.8,-4.9,20.0,,,,5.8,,1024.2,
2020-10-27,7.4,-4.7,20.0,,,,3.0,,1026.2,
2020-10-28,8.7,-2.2,19.6,,,,4.5,,1026.1,
2020-10-29,10.8,-0.2,22.1,0.0,,,10.3,,1024.9,
2020-10-30,11.8,-1.5,20.4,,,,12.0,,1023.5,
2020-10-31,12.2,7.0,17.6,,,,10.7,,1022.4,
2020-11-01,10.2,2.5,16.0,,,,12.3,,1022.3,
2020-11-02,7.9,6.0,10.0,0.3,,,9.3,,1024.3,
2020-11-03,5.4,1.5,9.0,9.1,,,8.2,,1023.4,
2020-11-04,7.0,2.6,11.0,4.8,,,18.3,,1021.9,
2020-11-05,8.2,5.1,11.0,7.1,,,24.0,,1018.7,
2020-11-06,5.3,3.0,8.1,4.1,,,12.4,,1018.2,
2020-11-07,4.0,1.0,8.7,5.8,,,9.9,,1023.4,
2020-11-08,2.6,-3.8,10.0,0.0,,,9.8,,1027.9,
2020-11-09,2.7,-4.0,11.7,,,,6.7,,1027.5,
2020-11-10,3.9,-4.6,12.7,,,,7.0,,1022.8,
2020-11-11,2.2,-4.1,9.2,,,,7.2,,1023.9,
2020-11-12,0.5,-5.0,9.0,,,,4.5,,1026.0,
2020-11-13,-1.0,-8.6,9.6,,,,2.9,,1026.1,
2020-11-14,-0.9,-9.2,8.0,,,,6.6,,1023.1,
2020-11-15,0.9,-5.4,9.1,,,,4.7,,1019.5,
2020-11-16,0.3,-5.0,8.0,,,,5.6,,1020.2,
2020-11-17,0.4,-9.1,8.0,,,,7.9,,1023.5,
2020-11-18,0.3,-7.0,8.2,,,,4.2,,1023.6,
2020-11-19,-0.3,-7.6,7.0,,,,7.2,,1020.3,
2020-11-20,0.3,-1.8,3.0,,,,5.9,,1016.6,
2020-11-21,-0.1,-3.0,3.0,,,,2.7,,1018.1,
2020-11-22,-1.6,-8.1,5.0,,,,4.8,,1023.3,
2020-11-23,-2.5,-7.0,3.0,,,,7.5,,1024.6,
2020-11-24,-3.2,-10.0,6.0,,,,2.6,,1022.0,
2020-11-25,-1.9,-7.2,5.0,,,,6.7,,1017.7,
2020-11-26,-3.6,-7.0,2.0,,,,5.7,,1018.5,
2020-11-27,-5.0,-12.3,2.2,,,,5.0,,1025.3,
2020-11-28,-1.9,-10.3,2.0,,,,18.3,,1025.7,
2020-11-29,-2.6,-9.0,6.0,,,,7.5,,1022.5,
2020-11-30,-2.9,-11.0,7.1,,,,3.6,,1020.9,
2020-12-01,-0.2,-7.8,5.2,,,,4.9,,1020.3,
2020-12-02,-1.4,-5.0,5.0,,,,4.9,,1023.5,
2020-12-03,-2.6,-8.0,2.0,,,,10.6,,1025.3,
2020-12-04,-0.9,-2.5,1.0,,,,16.2,,1024.6,
2020-12-05,-2.6,-8.0,1.5,,,,8.7,,1021.2,
2020-12-06,-6.2,-12.0,1.1,,,,5.9,,1018.2,
2020-12-07,-4.7,-13.3,1.0,,,,7.3,,1019.3,
2020-12-08,-1.4,-6.0,1.2,0.0,,,5.6,,1020.3,
2020-12-09,-0.8,-2.0,1.6,2.3,,,5.4,,1021.1,
2020-12-10,-5.0,-11.0,-1.5,3.3,5.0,,1.9,,1023.8,
2020-12-11,-8.2,-14.0,-1.0,0.0,3.0,,2.4,,1021.5,
2020-12-12,-3.8,-11.0,0.0,,2.0,,5.0,,1021.2,
2020-12-13,1.0,-3.3,3.0,20.1,,,6.9,,1020.8,
2020-12-14,1.4,0.0,4.0,0.0,1.0,,5.5,,1019.5,
2020-12-15,2.2,-0.6,4.1,1.3,,,15.4,,1017.5,
2020-12-16,0.3,-1.6,1.2,4.8,,,2.3,,1019.0,
2020-12-17,0.3,-3.0,5.0,0.0,,,7.1,,1021.1,
2020-12-18,-3.7,-8.6,3.0,,,,3.5,,1023.7,
2020-12-19,-2.8,-10.4,3.1,,,,6.9,,1023.0,
2020-12-20,-4.0,-7.0,1.0,,,,7.2,,1023.8,
2020-12-21,-3.1,-10.4,1.5,,,,4.1,,1023.5,
2020-12-22,-2.4,-3.2,-1.0,0.5,,,8.7,,1019.7,
2020-12-23,-6.7,-13.0,-2.5,9.7,1.0,,11.7,,1013.5,
2020-12-24,-17.7,-21.0,-8.7,0.0,15.0,,3.6,,1016.4,
2020-12-25,-20.6,-28.2,-15.0,,14.0,,2.3,,1022.8,
2020-12-26,-14.5,-21.3,-8.0,,13.0,,2.9,,1026.9,
2020-12-27,-16.2,-22.2,-6.5,,12.0,,2.0,,1028.3,
2020-12-28,-16.2,-22.3,-11.5,,10.0,,1.6,,1026.9,
2020-12-29,-14.2,-20.0,-3.0,,10.0,,3.1,,1026.0,
2020-12-30,-14.6,-21.0,-6.0,,9.0,,2.3,,1027.1,
2020-12-31,-13.1,-20.0,-4.0,,7.0,,3.5,,1025.3,
2021-01-01,-13.0,-20.0,-4.0,,7.0,,2.9,,1024.5,
2021-01-02,-7.6,-16.3,-1.0,,6.0,,3.1,,1026.9,
2021-01-03,-11.8,-18.0,-6.0,,6.0,,2.0,,1027.6,
2021-01-04,-6.4,-18.0,3.0,,5.0,,23.3,,1026.7,
2021-01-05,-8.6,-15.0,-4.0,,5.0,,19.7,,1026.1,
2021-01-06,-11.2,-17.0,-4.7,,5.0,,3.1,,1027.4,
2021-01-07,-12.8,-19.2,-3.7,,5.0,,3.7,,1026.9,
2021-01-08,-11.7,-20.0,-4.9,0.0,3.0,,2.2,,1025.6,
2021-01-09,-10.9,-18.7,-3.0,,3.0,,3.8,,1024.5,
2021-01-10,-7.8,-18.1,-2.0,,3.0,,3.5,,1023.7,
2021-01-11,3.2,-3.5,7.0,,3.0,,14.0,,1023.1,
2021-01-12,3.4,-0.2,6.5,,3.0,,13.3,,1023.9,
2021-01-13,5.2,-0.4,8.0,,,,11.2,,1017.0,
2021-01-14,2.6,2.0,5.1,0.0,,,18.0,,1006.2,
2021-01-15,-1.1,-3.0,3.5,1.3,1.0,,17.3,,1007.2,
2021-01-16,0.9,-2.8,3.0,1.8,,,9.9,,1010.8,
2021-01-17,1.6,-1.0,3.0,0.0,1.0,,13.0,,1005.0,
2021-01-18,-4.4,-8.0,1.0,0.5,,,15.0,,1005.7,
2021-01-19,-10.8,-16.0,-8.0,4.3,,,5.2,,1011.8,
2021-01-20,-13.8,-22.0,-8.0,3.6,19.0,,7.3,,1013.4,
2021-01-21,-21.2,-28.2,-12.2,0.0,16.0,,2.5,,1024.5,
